Serial no.,Movie Name,Director 1,Director 2,Director 3,Director 4,Director 5,Director 6,Duration,Year of Release,Ratings,Metascore
1, Spider-Man: Across the Spider-Verse , Joaquim Dos Santos, Kemp Powers, Justin K. Thompson ,N/A,N/A,N/A,140 min,-2023,9,86
2, The Dark Knight , Christopher Nolan ,N/A,N/A,N/A,N/A,N/A,152 min,-2008,9,84
3, The Lord of the Rings: The Return of the King , Peter Jackson ,N/A,N/A,N/A,N/A,N/A,201 min,-2003,9,94
4, Inception , Christopher Nolan ,N/A,N/A,N/A,N/A,N/A,148 min,-2010,8.8,74
5, The Lord of the Rings: The Fellowship of the Ring , Peter Jackson ,N/A,N/A,N/A,N/A,N/A,178 min,-2001,8.8,92
6, The Lord of the Rings: The Two Towers , Peter Jackson ,N/A,N/A,N/A,N/A,N/A,179 min,-2002,8.8,87
7, The Matrix , Lana Wachowski, Lilly Wachowski ,N/A,N/A,N/A,N/A,136 min,-1999,8.7,73
8, Star Wars: Episode V - The Empire Strikes Back , Irvin Kershner ,N/A,N/A,N/A,N/A,N/A,124 min,-1980,8.7,82
9, Soorarai Pottru , Sudha Kongara ,N/A,N/A,N/A,N/A,N/A,153 min,-2020,8.7,N/A
10, Terminator 2: Judgment Day , James Cameron ,N/A,N/A,N/A,N/A,N/A,137 min,-1991,8.6,75
11, Star Wars: Episode IV - A New Hope , George Lucas ,N/A,N/A,N/A,N/A,N/A,121 min,-1977,8.6,90
12, Seven Samurai , Akira Kurosawa ,N/A,N/A,N/A,N/A,N/A,207 min,-1954,8.6,98
13, Harakiri , Masaki Kobayashi ,N/A,N/A,N/A,N/A,N/A,133 min,-1962,8.6,85
14, Sita Ramam , Hanu Raghavapudi ,N/A,N/A,N/A,N/A,N/A,163 min,-2022,8.6,N/A
15, Léon: The Professional , Luc Besson ,N/A,N/A,N/A,N/A,N/A,110 min,-1994,8.5,64
16, Gladiator , Ridley Scott ,N/A,N/A,N/A,N/A,N/A,155 min,-2000,8.5,67
17, Spider-Man: Into the Spider-Verse , Bob Persichetti, Peter Ramsey, Rodney Rothman ,N/A,N/A,N/A,117 min,-2018,8.4,87
18, Indiana Jones and the Raiders of the Lost Ark , Steven Spielberg ,N/A,N/A,N/A,N/A,N/A,115 min,-1981,8.4,85
19, Avengers: Endgame , Anthony Russo, Joe Russo ,N/A,N/A,N/A,N/A,181 min,-2019,8.4,78
20, Avengers: Infinity War , Anthony Russo, Joe Russo ,N/A,N/A,N/A,N/A,149 min,-2018,8.4,68
21, Oldboy , Park Chan-wook ,N/A,N/A,N/A,N/A,N/A,101 min,-2003,8.4,77
22, The Dark Knight Rises , Christopher Nolan ,N/A,N/A,N/A,N/A,N/A,164 min,-2012,8.4,78
23, Aliens , James Cameron ,N/A,N/A,N/A,N/A,N/A,137 min,-1986,8.4,84
24, Kaithi , Lokesh Kanagaraj ,N/A,N/A,N/A,N/A,N/A,145 min,-2019,8.4,N/A
25, Asuran , Vetrimaaran ,N/A,N/A,N/A,N/A,N/A,141 min,-2019,8.4,N/A
26, Top Gun: Maverick , Joseph Kosinski ,N/A,N/A,N/A,N/A,N/A,130 min,-2022,8.3,78
27, Heat , Michael Mann ,N/A,N/A,N/A,N/A,N/A,170 min,-1995,8.3,76
28, Star Wars: Episode VI - Return of the Jedi , Richard Marquand ,N/A,N/A,N/A,N/A,N/A,131 min,-1983,8.3,58
29, Princess Mononoke , Hayao Miyazaki ,N/A,N/A,N/A,N/A,N/A,134 min,-1997,8.3,76
30, North by Northwest , Alfred Hitchcock ,N/A,N/A,N/A,N/A,N/A,136 min,-1959,8.3,98
31, Kantara , Rishab Shetty ,N/A,N/A,N/A,N/A,N/A,148 min,-2022,8.3,N/A
32, Dangal , Nitesh Tiwari ,N/A,N/A,N/A,N/A,N/A,161 min,-2016,8.3,N/A
33, Vikram , Lokesh Kanagaraj ,N/A,N/A,N/A,N/A,N/A,175 min,-2022,8.3,N/A
34, Raatchasan , Ram Kumar ,N/A,N/A,N/A,N/A,N/A,170 min,-2018,8.3,N/A
35, K, Prashanth Neel ,N/A,N/A,N/A,N/A,N/A,168 min,-2022,8.3,N/A
36, Shershaah , Vishnuvardhan ,N/A,N/A,N/A,N/A,N/A,135 min,-2021,8.3,N/A
37, Guardians of the Galaxy Vol, James Gunn ,N/A,N/A,N/A,N/A,N/A,150 min,-2023,8.2,64
38, Spider-Man: No Way Home , Jon Watts ,N/A,N/A,N/A,N/A,N/A,148 min,-2021,8.2,71
39, Jurassic Park , Steven Spielberg ,N/A,N/A,N/A,N/A,N/A,127 min,-1993,8.2,68
40, Indiana Jones and the Last Crusade , Steven Spielberg ,N/A,N/A,N/A,N/A,N/A,127 min,-1989,8.2,65
41,1917, Sam Mendes ,N/A,N/A,N/A,N/A,N/A,119 min,-2019,8.2,78
42, Batman Begins , Christopher Nolan ,N/A,N/A,N/A,N/A,N/A,140 min,-2005,8.2,70
43, Kill Bill: Vol, Quentin Tarantino ,N/A,N/A,N/A,N/A,N/A,111 min,-2003,8.2,69
44, Die Hard , John McTiernan ,N/A,N/A,N/A,N/A,N/A,132 min,-1988,8.2,72
45, V for Vendetta , James McTeigue ,N/A,N/A,N/A,N/A,N/A,132 min,-2005,8.2,62
46, Demon Slayer the Movie: Mugen Train , Haruo Sotozaki ,N/A,N/A,N/A,N/A,N/A,117 min,-2020,8.2,72
47, Ran , Akira Kurosawa ,N/A,N/A,N/A,N/A,N/A,162 min,-1985,8.2,97
48, Gangs of Wasseypur , Anurag Kashyap ,N/A,N/A,N/A,N/A,N/A,321 min,-2012,8.2,89
49, Yojimbo , Akira Kurosawa ,N/A,N/A,N/A,N/A,N/A,110 min,-1961,8.2,93
50, Vikram Vedha , Gayatri, Pushkar, Gowtham Selvaraj ,N/A,N/A,N/A,147 min,-2017,8.2,N/A
51, Baahubali 2: The Conclusion , S.S. Rajamouli ,N/A,N/A,N/A,N/A,N/A,167 min,-2017,8.2,N/A
52, K, Prashanth Neel ,N/A,N/A,N/A,N/A,N/A,156 min,-2018,8.2,N/A
53, Sherlock Jr, Buster Keaton ,N/A,N/A,N/A,N/A,N/A,45 min,-1924,8.2,N/A
