Movie Name,Star 1,Star 2,Star 3,Star 4,Votes,Genre 1,Genre 2,Genre 3,Gross Collection,Certification
 Spider-Man: Across the Spider-Verse , Shameik Moore, Hailee Steinfeld, Brian Tyree Henry, Luna Lauren Velez,106940,Animation, Action, Adventure,N/A,U
 The Dark Knight , Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,2723579,Action, Crime, Drama, $534.86M,UA
 The Lord of the Rings: The Return of the King , Elijah Wood, Viggo Mortensen, Ian McKellen, Orlando Bloom,1890039,Action, Adventure, Drama, $377.85M,U
 Inception , Leonardo DiCaprio, Joseph Gordon-Levitt, Elliot Page, Ken Watanabe,2417423,Action, Adventure, Sci-Fi, $292.58M,UA
 The Lord of the Rings: The Fellowship of the Ring , Elijah Wood, Ian McKellen, Orlando Bloom, Sean Bean,1918633,Action, Adventure, Drama, $315.54M,U
 The Lord of the Rings: The Two Towers , Elijah Wood, Ian McKellen, Viggo Mortensen, Orlando Bloom,1705841,Action, Adventure, Drama, $342.55M,UA
 The Matrix , Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving,1961099,Action, Sci-Fi,N/A, $171.48M,A
 Star Wars: Episode V - The Empire Strikes Back , Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,1323313,Action, Adventure, Fantasy, $290.48M,UA
 Soorarai Pottru , Suriya, Aparna Balamurali, Paresh Rawal, Urvashi,119605,Action, Drama,N/A,N/A,U
 Terminator 2: Judgment Day , Arnold Schwarzenegger, Linda Hamilton, Edward Furlong, Robert Patrick,1124898,Action, Sci-Fi,N/A, $204.84M,A
 Star Wars: Episode IV - A New Hope , Mark Hamill, Harrison Ford, Carrie Fisher, Alec Guinness,1395666,Action, Adventure, Fantasy, $322.74M,U
 Seven Samurai , Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki,353291,Action, Drama,N/A, $0.27M,U
 Harakiri , Tatsuya Nakadai, Akira Ishihama, Shima Iwashita, Tetsurô Tanba,61205,Action, Drama, Mystery,N/A,N/A
 Sita Ramam , Dulquer Salmaan, Mrunal Thakur, Rashmika Mandanna, Sumanth,60317,Action, Drama, Mystery,N/A,U
 Léon: The Professional , Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello,1191315,Action, Crime, Drama, $19.50M,A
 Gladiator , Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed,1538530,Action, Adventure, Drama, $187.71M,UA
 Spider-Man: Into the Spider-Verse , Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali,582798,Animation, Action, Adventure, $190.24M,U
 Indiana Jones and the Raiders of the Lost Ark , Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies,989020,Action, Adventure,N/A, $248.16M,A
 Avengers: Endgame , Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,1183691,Action, Adventure, Drama, $858.37M,UA
 Avengers: Infinity War , Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,1126826,Action, Adventure, Sci-Fi, $678.82M,UA
 Oldboy , Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok,597457,Action, Drama, Mystery, $0.71M,A
 The Dark Knight Rises , Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman,1744398,Action, Drama, Thriller, $448.14M,UA
 Aliens , Sigourney Weaver, Michael Biehn, Carrie Henn, Paul Reiser,733473,Action, Adventure, Sci-Fi, $85.16M,U
 Kaithi , Karthi, Narain, Arjun Das, George Maryan,36261,Action, Adventure, Crime,N/A,UA
 Asuran , Dhanush, Manju Warrier, Prakash Raj, Pasupathy,31257,Action, Drama,N/A,N/A,UA
 Top Gun: Maverick , Tom Cruise, Jennifer Connelly, Miles Teller, Val Kilmer,594867,Action, Drama,N/A, $718.73M,UA
 Heat , Al Pacino, Robert De Niro, Val Kilmer, Jon Voight,678150,Action, Crime, Drama, $67.44M,A
 Star Wars: Episode VI - Return of the Jedi , Mark Hamill, Harrison Ford, Carrie Fisher, Billy Dee Williams,1079243,Action, Adventure, Fantasy, $309.13M,U
 Princess Mononoke , Yôji Matsuda, Yuriko Ishida, Yûko Tanaka, Billy Crudup,407566,Animation, Action, Adventure, $2.38M,U
 North by Northwest , Cary Grant, Eva Marie Saint, James Mason, Jessie Royce Landis,335006,Action, Adventure, Mystery, $13.28M,U
 Kantara , Rishab Shetty, Kishore Kumar G., Achyuth Kumar, Sapthami Gowda,95744,Action, Adventure, Drama,N/A,UA
 Dangal , Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra,197688,Action, Biography, Drama, $12.39M,U
 Vikram , Kamal Haasan, Vijay Sethupathi, Fahadh Faasil, Narain,64031,Action, Crime, Thriller,N/A,UA
 Raatchasan , Vishnu Vishal, Amala Paul, Radha Ravi, Sangili Murugan,47051,Action, Crime, Drama,N/A,UA
 K, Yash, Sanjay Dutt, Raveena Tandon, Srinidhi Shetty,139847,Action, Crime, Drama, $6.60M,UA
 Shershaah , Sidharth Malhotra, Kiara Advani, Shiv Panditt, Pranay Pachauri,124936,Action, Biography, Drama,N/A,UA
 Guardians of the Galaxy Vol, Chris Pratt, Chukwudi Iwuji, Bradley Cooper, Pom Klementieff,166946,Action, Adventure, Comedy,N/A,UA
 Spider-Man: No Way Home , Tom Holland, Zendaya, Benedict Cumberbatch, Jacob Batalon,801137,Action, Adventure, Fantasy, $804.75M,UA
 Jurassic Park , Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough,1015715,Action, Adventure, Sci-Fi, $402.45M,UA
 Indiana Jones and the Last Crusade , Harrison Ford, Sean Connery, Alison Doody, Denholm Elliott,772776,Action, Adventure,N/A, $197.17M,U
1917, Dean-Charles Chapman, George MacKay, Daniel Mays, Colin Firth,622872,Action, Drama, War, $159.23M,R
 Batman Begins , Christian Bale, Michael Caine, Ken Watanabe, Liam Neeson,1505583,Action, Crime, Drama, $206.85M,UA
 Kill Bill: Vol, Uma Thurman, David Carradine, Daryl Hannah, Michael Madsen,1142357,Action, Crime, Drama, $70.10M,A
 Die Hard , Bruce Willis, Alan Rickman, Bonnie Bedelia, Reginald VelJohnson,902360,Action, Thriller,N/A, $83.01M,A
 V for Vendetta , Hugo Weaving, Natalie Portman, Rupert Graves, Stephen Rea,1141998,Action, Drama, Sci-Fi, $70.51M,UA
 Demon Slayer the Movie: Mugen Train , Natsuki Hanae, Akari Kitô, Yoshitsugu Matsuoka, Hiro Shimono,64764,Animation, Action, Adventure, $47.70M,UA
 Ran , Tatsuya Nakadai, Akira Terao, Jinpachi Nezu, Daisuke Ryû,129430,Action, Drama, War, $4.14M,Not Rated
 Gangs of Wasseypur , Manoj Bajpayee, Nawazuddin Siddiqui, Tigmanshu Dhulia, Richa Chadha,99466,Action, Comedy, Crime,N/A,A
